strategy,ticker,entry_date,exit_date,entry_year,exit_year,shares,entry_price,exit_price,invested,return_pct,pl_dollars
SMA_5_20,NVDA,2022-10-07,2023-02-14,2022,2023,800.7288,12.49,22.95,10000,83.74,8374.15
SMA_5_20,NVDA,2022-10-11,2023-02-14,2022,2023,866.1113,11.55,22.95,10000,98.74,9874.47
SMA_5_20,NVDA,2022-10-14,2023-02-14,2022,2023,830.4814,12.04,22.95,10000,90.57,9056.88
EMA_12_26,NVDA,2021-05-06,2022-09-14,2021,2022,691.62,14.46,13.24,10000,-8.45,-845.27
EMA_12_26,NVDA,2021-05-06,2022-09-15,2021,2022,691.62,14.46,13.0,10000,-10.1,-1010.35
EMA_12_26,NVDA,2021-05-06,2022-09-16,2021,2022,691.62,14.46,12.73,10000,-11.99,-1198.92
EMA_12_26,NVDA,2021-05-06,2022-09-19,2021,2022,691.62,14.46,12.99,10000,-10.12,-1012.43
EMA_12_26,NVDA,2021-05-06,2022-09-20,2021,2022,691.62,14.46,13.2,10000,-8.72,-872.21
EMA_12_26,NVDA,2021-05-06,2022-09-21,2021,2022,691.62,14.46,13.2,10000,-8.74,-873.59
EMA_12_26,NVDA,2021-05-06,2022-09-22,2021,2022,691.62,14.46,13.05,10000,-9.72,-972.37
EMA_12_26,NVDA,2021-05-06,2022-09-23,2021,2022,691.62,14.46,12.4,10000,-14.21,-1421.33
EMA_12_26,NVDA,2021-05-06,2022-09-26,2021,2022,691.62,14.46,12.47,10000,-13.72,-1372.29
EMA_12_26,NVDA,2021-05-06,2022-09-27,2021,2022,691.62,14.46,12.49,10000,-13.61,-1361.24
EMA_12_26,NVDA,2022-09-27,2023-02-14,2022,2023,800.6008,12.49,22.95,10000,83.71,8371.22
EMA_12_26,NVDA,2022-09-29,2023-02-14,2022,2023,804.3954,12.43,22.95,10000,84.58,8458.29
EMA_12_26,NVDA,2022-10-07,2023-02-14,2022,2023,800.7288,12.49,22.95,10000,83.74,8374.15
EMA_12_26,NVDA,2022-10-11,2023-02-14,2022,2023,866.1113,11.55,22.95,10000,98.74,9874.47
EMA_12_26,NVDA,2022-10-14,2023-02-14,2022,2023,830.4814,12.04,22.95,10000,90.57,9056.88
GoldenCross,NVDA,2022-01-12,2022-05-09,2022,2022,356.9998,28.01,18.0,10000,-35.74,-3573.57
GoldenCross,NVDA,2022-01-12,2022-05-10,2022,2022,356.9998,28.01,17.66,10000,-36.97,-3696.51
GoldenCross,NVDA,2022-01-12,2022-05-11,2022,2022,356.9998,28.01,17.32,10000,-38.18,-3818.38
GoldenCross,NVDA,2022-01-12,2022-05-12,2022,2022,356.9998,28.01,16.19,10000,-42.2,-4220.34
GoldenCross,NVDA,2022-01-12,2022-05-13,2022,2022,356.9998,28.01,16.76,10000,-40.18,-4017.58
GoldenCross,NVDA,2022-01-12,2022-05-16,2022,2022,356.9998,28.01,17.48,10000,-37.61,-3760.65
GoldenCross,NVDA,2022-01-12,2022-05-17,2022,2022,356.9998,28.01,18.04,10000,-35.59,-3559.31
GoldenCross,NVDA,2022-01-12,2022-05-18,2022,2022,356.9998,28.01,17.67,10000,-36.91,-3690.81
GoldenCross,NVDA,2022-01-12,2022-05-19,2022,2022,356.9998,28.01,16.91,10000,-39.64,-3964.48
GoldenCross,NVDA,2022-05-19,2023-02-14,2022,2023,591.4983,16.91,22.95,10000,35.73,3572.99
GoldenCross,NVDA,2022-05-23,2023-02-14,2022,2023,615.5957,16.24,22.95,10000,41.26,4125.94
GoldenCross,NVDA,2022-06-13,2023-02-14,2022,2023,626.0056,15.97,22.95,10000,43.65,4364.82
GoldenCross,NVDA,2022-06-29,2023-02-14,2022,2023,633.3685,15.79,22.95,10000,45.34,4533.77
GoldenCross,NVDA,2022-07-01,2023-02-14,2022,2023,672.2658,14.88,22.95,10000,54.26,5426.34
GoldenCross,NVDA,2022-09-02,2023-02-14,2022,2023,710.361,14.08,22.95,10000,63.01,6300.5
GoldenCross,NVDA,2022-09-13,2023-02-14,2022,2023,725.4829,13.78,22.95,10000,66.48,6647.5
GoldenCross,NVDA,2022-09-15,2023-02-14,2022,2023,769.3517,13.0,22.95,10000,76.54,7654.15
GoldenCross,NVDA,2022-09-23,2023-02-14,2022,2023,806.2089,12.4,22.95,10000,85.0,8499.9
GoldenCross,NVDA,2022-09-29,2023-02-14,2022,2023,804.3954,12.43,22.95,10000,84.58,8458.29
GoldenCross,NVDA,2022-10-07,2023-02-14,2022,2023,800.7288,12.49,22.95,10000,83.74,8374.15
GoldenCross,NVDA,2022-10-11,2023-02-14,2022,2023,866.1113,11.55,22.95,10000,98.74,9874.47
GoldenCross,NVDA,2022-10-14,2023-02-14,2022,2023,830.4814,12.04,22.95,10000,90.57,9056.88
GoldenCross,AMZN,2022-01-12,2022-01-26,2022,2022,60.033,166.57,144.75,10000,-13.1,-1310.22
GoldenCross,AMZN,2022-01-12,2022-01-27,2022,2022,60.033,166.57,140.8,10000,-15.47,-1547.35
GoldenCross,AMZN,2022-01-12,2022-01-28,2022,2022,60.033,166.57,140.86,10000,-15.44,-1543.72
GoldenCross,AMZN,2022-01-12,2022-01-31,2022,2022,60.033,166.57,144.75,10000,-13.1,-1310.22
GoldenCross,AMZN,2022-01-12,2022-02-01,2022,2022,60.033,166.57,150.0,10000,-9.95,-995.05
GoldenCross,AMZN,2022-01-12,2022-02-02,2022,2022,60.033,166.57,155.05,10000,-6.92,-691.85
GoldenCross,AMZN,2022-01-12,2022-02-03,2022,2022,60.033,166.57,141.74,10000,-14.91,-1491.07
GoldenCross,AMZN,2022-02-03,2024-02-02,2022,2024,70.553,141.74,171.81,10000,21.22,2121.7
GoldenCross,AMZN,2022-02-23,2024-02-02,2022,2024,65.9411,151.65,171.81,10000,13.29,1329.34
GoldenCross,AMZN,2022-03-08,2024-02-02,2022,2024,73.1617,136.68,171.81,10000,25.7,2569.91
GoldenCross,AMZN,2022-05-03,2024-02-02,2022,2024,80.6104,124.05,171.81,10000,38.5,3849.67
GoldenCross,AMZN,2022-05-06,2024-02-02,2022,2024,87.0701,114.85,171.81,10000,49.6,4959.51
GoldenCross,AMZN,2022-05-11,2024-02-02,2022,2024,92.5039,108.1,171.81,10000,58.93,5893.1
GoldenCross,AMZN,2022-06-13,2024-02-02,2022,2024,95.9785,104.19,171.81,10000,64.9,6490.07
GoldenCross,AMZN,2022-11-01,2024-02-02,2022,2024,96.1631,103.99,171.81,10000,65.22,6521.78
GoldenCross,AMZN,2022-11-03,2024-02-02,2022,2024,108.1432,92.47,171.81,10000,85.8,8580.08
GoldenCross,AMZN,2022-12-19,2024-02-02,2022,2024,114.2727,87.51,171.81,10000,96.33,9633.18
GoldenCross,AMZN,2022-12-27,2024-02-02,2022,2024,117.6886,84.97,171.81,10000,102.2,10220.08
SMA_5_20,META,2021-04-30,2022-02-03,2021,2022,30.9023,323.6,242.75,10000,-24.99,-2498.62
SMA_5_20,META,2021-04-30,2022-02-04,2021,2022,30.9023,323.6,233.14,10000,-27.95,-2795.43
SMA_5_20,META,2021-04-30,2022-02-07,2021,2022,30.9023,323.6,235.85,10000,-27.12,-2711.72
SMA_5_20,META,2021-04-30,2022-02-08,2021,2022,30.9023,323.6,219.13,10000,-32.28,-3228.37
SMA_5_20,META,2021-04-30,2022-02-09,2021,2022,30.9023,323.6,222.45,10000,-31.26,-3125.65
SMA_5_20,META,2022-02-09,2023-02-02,2022,2023,44.9531,222.45,187.3,10000,-15.8,-1580.29
SMA_5_20,META,2022-02-11,2023-02-02,2022,2023,44.1148,226.68,187.3,10000,-17.37,-1737.29
SMA_5_20,META,2022-02-17,2023-02-02,2022,2023,47.0913,212.35,187.3,10000,-11.8,-1179.8
SMA_5_20,META,2022-02-23,2023-02-02,2022,2023,49.3656,202.57,187.3,10000,-7.54,-753.82
SMA_5_20,META,2022-03-14,2023-02-02,2022,2023,53.8869,185.57,187.3,10000,0.93,93.03
SMA_5_20,META,2022-04-26,2023-02-02,2022,2023,54.0024,185.18,187.3,10000,1.15,114.66
SMA_5_20,META,2022-06-13,2023-02-02,2022,2023,59.0801,169.26,187.3,10000,10.66,1065.71
SMA_5_20,META,2022-06-16,2023-02-02,2022,2023,61.5592,162.45,187.3,10000,15.3,1530.05
SMA_5_20,META,2022-06-22,2023-02-02,2022,2023,63.6348,157.15,187.3,10000,19.19,1918.8
SMA_5_20,META,2022-09-14,2023-02-02,2022,2023,65.7306,152.14,187.3,10000,23.11,2311.35
SMA_5_20,META,2022-09-16,2023-02-02,2022,2023,68.0748,146.9,187.3,10000,27.5,2750.42
SMA_5_20,META,2022-09-23,2023-02-02,2022,2023,71.2663,140.32,187.3,10000,33.48,3348.18
SMA_5_20,META,2022-09-27,2023-02-02,2022,2023,73.0748,136.85,187.3,10000,36.87,3686.92
SMA_5_20,META,2022-10-11,2023-02-02,2022,2023,76.5725,130.6,187.3,10000,43.42,4342.05
SMA_5_20,META,2022-10-14,2023-02-02,2022,2023,76.9349,129.98,187.3,10000,44.1,4409.92
SMA_5_20,META,2022-10-31,2023-02-02,2022,2023,102.6112,97.46,187.3,10000,92.19,9219.1
SMA_5_20,META,2022-11-03,2023-02-02,2022,2023,111.8836,89.38,187.3,10000,109.56,10955.81
GoldenCross,TSLA,2022-01-12,2022-05-27,2022,2022,27.8074,359.62,241.08,10000,-32.96,-3296.1
GoldenCross,TSLA,2022-01-12,2022-05-31,2022,2022,27.8074,359.62,257.95,10000,-28.27,-2827.18
GoldenCross,TSLA,2022-01-12,2022-06-01,2022,2022,27.8074,359.62,251.72,10000,-30.0,-3000.32
GoldenCross,TSLA,2022-01-12,2022-06-02,2022,2022,27.8074,359.62,244.16,10000,-32.11,-3210.64
GoldenCross,TSLA,2022-01-12,2022-06-03,2022,2022,27.8074,359.62,243.23,10000,-32.37,-3236.5
GoldenCross,TSLA,2022-06-03,2023-06-06,2022,2023,41.1139,243.23,221.31,10000,-9.01,-901.08
GoldenCross,TSLA,2022-06-07,2023-06-06,2022,2023,42.735,234.0,221.31,10000,-5.42,-542.31
GoldenCross,TSLA,2022-06-13,2023-06-06,2022,2023,44.8096,223.17,221.31,10000,-0.83,-83.2
GoldenCross,TSLA,2022-10-14,2023-06-06,2022,2023,44.6409,224.01,221.31,10000,-1.21,-120.53
GoldenCross,TSLA,2022-11-08,2023-06-06,2022,2023,51.5411,194.02,221.31,10000,14.07,1406.56
GoldenCross,TSLA,2022-11-21,2023-06-06,2022,2023,56.8666,175.85,221.31,10000,25.85,2585.16
GoldenCross,TSLA,2022-12-13,2023-06-06,2022,2023,57.1853,174.87,221.31,10000,26.56,2655.69
GoldenCross,TSLA,2022-12-16,2023-06-06,2022,2023,62.6409,159.64,221.31,10000,38.63,3863.07
GoldenCross,TSLA,2022-12-20,2023-06-06,2022,2023,68.4697,146.05,221.31,10000,51.53,5153.03
GoldenCross,TSLA,2022-12-22,2023-06-06,2022,2023,73.5294,136.0,221.31,10000,62.73,6272.79
GoldenCross,TSLA,2022-12-27,2023-06-06,2022,2023,85.1064,117.5,221.31,10000,88.35,8834.89
SMA_5_20,NFLX,2021-05-26,2022-01-21,2021,2022,199.0684,50.23,40.04,10000,-20.29,-2028.71
SMA_5_20,NFLX,2021-05-26,2022-01-24,2021,2022,199.0684,50.23,38.39,10000,-23.58,-2357.57
SMA_5_20,NFLX,2021-05-26,2022-01-25,2021,2022,199.0684,50.23,37.91,10000,-24.53,-2452.52
SMA_5_20,NFLX,2021-05-26,2022-01-26,2021,2022,199.0684,50.23,37.83,10000,-24.7,-2469.84
SMA_5_20,NFLX,2021-05-26,2022-01-27,2021,2022,199.0684,50.23,38.21,10000,-23.94,-2394.39
SMA_5_20,NFLX,2021-05-26,2022-01-28,2021,2022,199.0684,50.23,38.68,10000,-23.01,-2300.83
SMA_5_20,NFLX,2021-05-26,2022-01-31,2021,2022,199.0684,50.23,40.2,10000,-19.98,-1998.05
SMA_5_20,NFLX,2021-05-26,2022-02-01,2021,2022,199.0684,50.23,43.3,10000,-13.81,-1381.14
SMA_5_20,NFLX,2022-02-01,2023-01-20,2022,2023,230.9682,43.3,34.25,10000,-20.89,-2089.34
SMA_5_20,NFLX,2022-02-03,2023-01-20,2022,2023,237.2817,42.14,34.25,10000,-18.73,-1873.1
SMA_5_20,NFLX,2022-02-11,2023-01-20,2022,2023,246.7125,40.53,34.25,10000,-15.5,-1550.1
SMA_5_20,NFLX,2022-02-22,2023-01-20,2022,2023,257.1025,38.9,34.25,10000,-11.94,-1194.24
SMA_5_20,NFLX,2022-03-04,2023-01-20,2022,2023,271.7391,36.8,34.25,10000,-6.93,-692.93
SMA_5_20,NFLX,2022-03-08,2023-01-20,2022,2023,285.8776,34.98,34.25,10000,-2.09,-208.69
SMA_5_20,NFLX,2022-03-14,2023-01-20,2022,2023,295.2291,33.87,34.25,10000,1.12,111.6
SMA_5_20,NFLX,2022-04-21,2023-01-20,2022,2023,454.5455,22.0,34.25,10000,55.68,5568.18
SMA_5_20,NFLX,2022-04-25,2023-01-20,2022,2023,467.705,21.38,34.25,10000,60.19,6018.89
SMA_5_20,NFLX,2022-04-27,2023-01-20,2022,2023,515.4374,19.4,34.25,10000,76.54,7653.73
SMA_5_20,NFLX,2022-05-06,2023-01-20,2022,2023,535.4753,18.67,34.25,10000,83.4,8340.03
SMA_5_20,NFLX,2022-05-11,2023-01-20,2022,2023,567.8914,17.61,34.25,10000,94.5,9450.28
EMA_12_26,NFLX,2021-06-07,2022-04-20,2021,2022,202.8727,49.29,24.52,10000,-50.26,-5025.56
EMA_12_26,NFLX,2021-06-07,2022-04-21,2021,2022,202.8727,49.29,22.0,10000,-55.37,-5536.8
EMA_12_26,NFLX,2021-06-07,2022-04-22,2021,2022,202.8727,49.29,22.02,10000,-55.33,-5533.15
EMA_12_26,NFLX,2021-06-07,2022-04-25,2021,2022,202.8727,49.29,21.38,10000,-56.62,-5662.38
EMA_12_26,NFLX,2021-06-07,2022-04-26,2021,2022,202.8727,49.29,20.88,10000,-57.64,-5764.02
EMA_12_26,NFLX,2021-06-07,2022-04-27,2021,2022,202.8727,49.29,19.4,10000,-60.64,-6064.07
EMA_12_26,NFLX,2021-06-07,2022-04-28,2021,2022,202.8727,49.29,19.16,10000,-61.14,-6113.77
EMA_12_26,NFLX,2021-06-07,2022-04-29,2021,2022,202.8727,49.29,19.87,10000,-59.69,-5969.33
EMA_12_26,NFLX,2022-04-29,2023-01-20,2022,2023,503.3219,19.87,34.25,10000,72.39,7238.78
EMA_12_26,NFLX,2022-05-05,2023-01-20,2022,2023,498.8775,20.05,34.25,10000,70.87,7086.56
EMA_12_26,NFLX,2022-05-09,2023-01-20,2022,2023,562.8729,17.77,34.25,10000,92.78,9278.4
GoldenCross,NFLX,2022-01-12,2022-04-20,2022,2022,183.7323,54.43,24.52,10000,-54.95,-5494.88
GoldenCross,NFLX,2022-01-12,2022-04-21,2022,2022,183.7323,54.43,22.0,10000,-59.58,-5957.89
GoldenCross,NFLX,2022-01-12,2022-04-22,2022,2022,183.7323,54.43,22.02,10000,-59.55,-5954.58
GoldenCross,NFLX,2022-01-12,2022-04-25,2022,2022,183.7323,54.43,21.38,10000,-60.72,-6071.62
GoldenCross,NFLX,2022-01-12,2022-04-26,2022,2022,183.7323,54.43,20.88,10000,-61.64,-6163.67
GoldenCross,NFLX,2022-01-12,2022-04-27,2022,2022,183.7323,54.43,19.4,10000,-64.35,-6435.41
GoldenCross,NFLX,2022-01-12,2022-04-28,2022,2022,183.7323,54.43,19.16,10000,-64.8,-6480.42
GoldenCross,NFLX,2022-01-12,2022-04-29,2022,2022,183.7323,54.43,19.87,10000,-63.5,-6349.61
GoldenCross,NFLX,2022-04-29,2023-01-20,2022,2023,503.3219,19.87,34.25,10000,72.39,7238.78
GoldenCross,NFLX,2022-05-05,2023-01-20,2022,2023,498.8775,20.05,34.25,10000,70.87,7086.56
GoldenCross,NFLX,2022-05-09,2023-01-20,2022,2023,562.8729,17.77,34.25,10000,92.78,9278.4
