strategy,ticker,entry_date,exit_date,action,entry_price,exit_price,shares,investment,return_pct
GoldenCross,NVDA,2022-01-06,2022-03-29,SELL,27.59,28.64,16,441.36,-0.04
GoldenCross,NVDA,2022-01-06,2022-08-05,SELL,27.59,18.78,18,496.53,0.32
GoldenCross,NVDA,2022-04-25,2022-08-05,SELL,19.17,18.78,27,517.51,0.02
GoldenCross,NVDA,2022-04-25,2022-11-11,SELL,19.17,15.79,22,421.68,0.17
GoldenCross,NVDA,2022-09-08,2022-11-11,SELL,13.44,15.79,30,403.24,-0.18
GoldenCross,NVDA,2022-09-08,2023-01-27,SELL,13.44,19.44,37,497.33,-0.45
GoldenCross,NVDA,2022-09-08,2023-11-16,SELL,13.44,48.64,5,67.21,-2.62
GoldenCross,NVDA,2023-01-12,2023-11-16,SELL,16.08,48.64,3,48.25,-2.03
GoldenCross,NVDA,2023-01-12,2025-07-15,SELL,16.08,170.67,53,852.4,-9.62
DeathCross,NVDA,2021-10-13,2021-10-29,BUY,20.87,24.95,36,751.46,0.19
DeathCross,NVDA,2021-10-13,2022-03-29,BUY,20.87,28.64,11,229.61,0.37
DeathCross,NVDA,2022-01-06,2022-03-29,BUY,27.59,28.64,20,551.7,0.04
DeathCross,NVDA,2022-01-06,2022-08-05,BUY,27.59,18.78,15,413.78,-0.32
DeathCross,NVDA,2022-04-25,2022-08-05,BUY,19.17,18.78,32,613.35,-0.02
DeathCross,NVDA,2022-04-25,2022-11-11,BUY,19.17,15.79,19,364.17,-0.18
DeathCross,NVDA,2022-09-08,2022-11-11,BUY,13.44,15.79,36,483.89,0.17
DeathCross,NVDA,2022-09-08,2023-01-27,BUY,13.44,19.44,36,483.89,0.44
DeathCross,NVDA,2023-01-12,2023-01-27,BUY,16.08,19.44,8,128.66,0.21
DeathCross,NVDA,2023-01-12,2023-11-16,BUY,16.08,48.64,17,273.41,2.02
DeathCross,NVDA,2023-01-12,2024-05-21,BUY,16.08,93.55,9,144.75,4.81
DeathCross,NVDA,2023-01-12,2024-09-09,BUY,16.08,104.83,8,128.66,5.51
DeathCross,NVDA,2023-01-12,2024-10-03,BUY,16.08,120.87,6,96.5,6.51
DeathCross,NVDA,2023-01-12,2025-05-15,BUY,16.08,134.26,6,96.5,7.34
DeathCross,NVDA,2023-01-12,2025-10-06,BUY,16.08,185.48,4,64.33,10.52
DeathCross,NVDA,2023-01-12,2026-01-16,BUY,16.08,189.07,1,16.08,10.74
DeathCross,NVDA,2023-09-28,2026-01-16,BUY,42.43,189.07,3,127.29,3.45
DeathCross,NVDA,2023-09-28,2026-03-09,BUY,42.43,176.82,4,169.72,3.16
GoldenCross,META,2021-10-01,2021-11-29,SELL,338.95,334.27,2,677.9,0.01
GoldenCross,META,2021-12-15,2022-01-03,SELL,329.9,335.67,2,659.8,-0.02
GoldenCross,META,2021-12-15,2022-04-13,SELL,329.9,210.17,1,329.9,0.36
GoldenCross,META,2022-01-24,2022-04-13,SELL,295.52,210.17,3,886.56,0.29
GoldenCross,META,2022-05-03,2022-08-16,SELL,208.81,178.04,4,835.25,0.15
GoldenCross,META,2022-08-16,2022-09-09,BUY,178.04,161.98,1,178.04,-0.09
GoldenCross,META,2022-09-09,2022-12-20,SELL,161.98,112.38,5,809.89,0.3
GoldenCross,META,2022-12-20,2023-08-31,BUY,112.38,293.5,3,337.13,1.61
GoldenCross,META,2023-10-02,2024-05-01,BUY,300.38,425.71,2,600.77,0.41
GoldenCross,META,2023-10-02,2024-08-01,BUY,300.38,518.01,1,300.38,0.72
GoldenCross,META,2024-06-14,2024-11-26,BUY,499.76,563.28,1,499.76,0.12
GoldenCross,META,2024-06-14,2025-03-17,BUY,499.76,605.57,1,499.76,0.21
GoldenCross,META,2024-08-23,2025-10-07,BUY,533.83,716.52,1,533.83,0.34
GoldenCross,META,2024-08-23,2026-03-04,BUY,533.83,657.4,1,533.83,0.23
DeathCross,META,2021-10-01,2021-11-29,BUY,338.95,334.27,2,677.9,-0.02
DeathCross,META,2021-12-15,2022-01-03,BUY,329.9,335.67,2,659.8,0.02
DeathCross,META,2021-12-15,2022-04-13,BUY,329.9,210.17,1,329.9,-0.36
DeathCross,META,2022-01-24,2022-04-13,BUY,295.52,210.17,3,886.56,-0.29
DeathCross,META,2022-05-03,2022-08-16,BUY,208.81,178.04,4,835.25,-0.15
DeathCross,META,2022-09-09,2022-12-20,BUY,161.98,112.38,5,809.89,-0.31
DeathCross,META,2022-12-20,2023-08-31,SELL,112.38,293.5,2,224.76,-1.62
DeathCross,META,2023-10-02,2024-05-01,SELL,300.38,425.71,1,300.38,-0.42
DeathCross,META,2023-10-02,2024-08-01,SELL,300.38,518.01,1,300.38,-0.73
DeathCross,META,2024-06-14,2024-11-26,SELL,499.76,563.28,1,499.76,-0.13
DeathCross,META,2024-08-23,2025-03-17,SELL,533.83,605.57,1,533.83,-0.14
GoldenCross,NFLX,2021-06-30,2021-08-17,BUY,53.41,51.55,17,907.9,-0.04
GoldenCross,NFLX,2021-06-30,2021-12-13,BUY,53.41,61.2,1,53.41,0.14
GoldenCross,NFLX,2021-08-25,2021-12-13,BUY,55.02,61.2,13,715.21,0.11
GoldenCross,NFLX,2021-08-25,2022-10-19,BUY,55.02,26.5,5,275.08,-0.52
GoldenCross,NFLX,2022-07-22,2022-10-19,BUY,22.24,26.5,28,622.66,0.19
GoldenCross,NFLX,2022-07-22,2023-03-10,BUY,22.24,29.79,15,333.57,0.34
GoldenCross,NFLX,2022-10-20,2023-03-10,BUY,27.28,29.79,14,381.89,0.09
GoldenCross,NFLX,2022-10-20,2023-08-17,BUY,27.28,41.5,20,545.56,0.52
GoldenCross,NFLX,2022-10-20,2024-04-26,BUY,27.28,55.82,1,27.28,1.04
GoldenCross,NFLX,2023-04-18,2024-04-26,BUY,33.5,55.82,14,469.0,0.66
GoldenCross,NFLX,2023-04-18,2024-07-31,BUY,33.5,62.66,13,435.5,0.87
GoldenCross,NFLX,2023-04-18,2025-01-28,BUY,33.5,96.67,1,33.5,1.88
GoldenCross,NFLX,2023-11-09,2025-01-28,BUY,43.8,96.67,7,306.62,1.2
GoldenCross,NFLX,2023-11-09,2025-03-20,BUY,43.8,95.0,8,350.42,1.17
GoldenCross,NFLX,2023-11-09,2025-08-01,BUY,43.8,116.3,6,262.82,1.65
GoldenCross,NFLX,2024-05-29,2025-08-01,BUY,64.41,116.3,1,64.41,0.8
GoldenCross,NFLX,2024-05-29,2025-10-07,BUY,64.41,117.78,6,386.48,0.83
DeathCross,NFLX,2021-06-30,2021-08-17,SELL,53.41,51.55,17,907.9,0.03
DeathCross,NFLX,2021-06-30,2021-12-13,SELL,53.41,61.2,1,53.41,-0.15
DeathCross,NFLX,2021-08-25,2021-12-13,SELL,55.02,61.2,13,715.21,-0.11
DeathCross,NFLX,2021-08-25,2022-10-19,SELL,55.02,26.5,5,275.08,0.52
DeathCross,NFLX,2022-07-22,2022-10-19,SELL,22.24,26.5,27,600.43,-0.19
DeathCross,NFLX,2022-07-22,2023-03-10,SELL,22.24,29.79,17,378.05,-0.34
DeathCross,NFLX,2022-10-20,2023-03-10,SELL,27.28,29.79,10,272.78,-0.09
DeathCross,NFLX,2022-10-20,2023-08-17,SELL,27.28,41.5,17,463.73,-0.52
DeathCross,NFLX,2022-10-20,2024-04-26,SELL,27.28,55.82,7,190.95,-1.05
DeathCross,NFLX,2023-04-18,2024-04-26,SELL,33.5,55.82,3,100.5,-0.67
DeathCross,NFLX,2023-04-18,2024-07-31,SELL,33.5,62.66,8,268.0,-0.87
DeathCross,NFLX,2023-04-18,2025-01-28,SELL,33.5,96.67,2,67.0,-1.89
DeathCross,NFLX,2023-04-18,2025-03-20,SELL,33.5,95.0,2,67.0,-1.84
