strategy,ticker,return,max_drawdown,sharpe,trades
SMA55,QQQ,-100.0,-100.0,0.0,20
SMA60,QQQ,-47.24455862542221,-59.05703716483943,-0.6203873004549756,12
SMA65,QQQ,-47.921447086902845,-59.439903362713586,-0.6266082706295203,15
SMA70,QQQ,-48.9317522728459,-60.02068353156811,-0.6362673866220375,15
SMA75,QQQ,-49.48304090595807,-60.3424070203809,-0.6411962078712304,15
SMA80,QQQ,-49.289652197907465,-60.229156374682525,-0.6395833560602324,12
SMA90,QQQ,-48.85427047815592,-59.97574111751405,-0.6359248663881768,13
SMA100,QQQ,-48.91014651842237,-60.00814459411208,-0.636533916899298,12
SMA120,QQQ,-100.0,-100.0,0.0,19
SMA150,QQQ,-100.0,-100.0,0.0,18
SMA180,QQQ,-17.479398110014046,-33.389471121823355,-0.4144727632295958,6
EMA5,QQQ,-100.0,-100.0,0.0,18
EMA6,QQQ,-100.0,-100.0,0.0,18
EMA7,QQQ,-100.0,-100.0,0.0,18
EMA8,QQQ,-100.0,-100.0,0.0,18
EMA9,QQQ,-100.0,-100.0,0.0,18
EMA10,QQQ,-100.0,-100.0,0.0,17
EMA11,QQQ,-100.0,-100.0,0.0,17
EMA12,QQQ,-100.0,-100.0,0.0,17
EMA13,QQQ,-100.0,-100.0,0.0,17
EMA14,QQQ,-100.0,-100.0,0.0,17
EMA15,QQQ,-100.0,-100.0,0.0,17
EMA16,QQQ,-100.0,-100.0,0.0,17
EMA17,QQQ,-100.0,-100.0,0.0,17
EMA18,QQQ,-100.0,-100.0,0.0,17
EMA19,QQQ,-100.0,-100.0,0.0,18
EMA20,QQQ,-100.0,-100.0,0.0,18
EMA25,QQQ,-100.0,-100.0,0.0,18
EMA30,QQQ,-100.0,-100.0,0.0,18
EMA35,QQQ,-100.0,-100.0,0.0,17
EMA40,QQQ,-100.0,-100.0,0.0,17
EMA45,QQQ,-100.0,-100.0,0.0,17
EMA55,QQQ,-100.0,-100.0,0.0,17
EMA65,QQQ,-100.0,-100.0,0.0,17
EMA75,QQQ,-100.0,-100.0,0.0,17
EMA85,QQQ,-100.0,-100.0,0.0,19
EMA100,QQQ,-100.0,-100.0,0.0,19
EMA125,QQQ,-100.0,-100.0,0.0,19
EMA150,QQQ,-100.0,-100.0,0.0,19
MTF_SMA,AAPL,-77.32707397565125,-98.37429994842864,-0.20975850621561046,2
TrailStop,AAPL,-100.0,-100.0,0.0,24
PullbackTrend,AAPL,-66.88389890938441,-88.55017808062034,-0.36606198238794196,3
RSITrend,AAPL,-66.08569900002783,-91.42274239811026,-0.31422953447504876,2
MACDHist,AAPL,-50.47475714220327,-68.9811654273288,-0.44622712158778677,2
Ribbon,AAPL,-100.0,-100.0,0.0,18
SMA3,AAPL,-100.0,-100.0,0.0,15
SMA7,AAPL,-100.0,-100.0,0.0,15
SMA8,AAPL,-100.0,-100.0,0.0,16
SMA13,AAPL,-100.0,-100.0,0.0,15
SMA21,AAPL,-100.0,-100.0,0.0,26
SMA25,AAPL,-100.0,-100.0,0.0,24
SMA30,AAPL,-100.0,-100.0,0.0,23
SMA35,AAPL,-100.0,-100.0,0.0,23
SMA40,AAPL,-100.0,-100.0,0.0,23
SMA45,AAPL,-100.0,-100.0,0.0,23
SMA55,AAPL,-100.0,-100.0,0.0,22
SMA60,AAPL,-100.0,-100.0,0.0,22
SMA65,AAPL,-100.0,-100.0,0.0,23
SMA70,AAPL,-100.0,-100.0,0.0,22
SMA75,AAPL,-100.0,-100.0,0.0,31
SMA80,AAPL,-100.0,-100.0,0.0,23
SMA90,AAPL,-100.0,-100.0,0.0,28
SMA100,AAPL,-100.0,-100.0,0.0,28
SMA120,AAPL,-100.0,-100.0,0.0,28
SMA150,AAPL,-100.0,-100.0,0.0,24
SMA180,AAPL,-100.0,-100.0,0.0,22
EMA5,AAPL,-100.0,-100.0,0.0,15
EMA6,AAPL,-100.0,-100.0,0.0,15
EMA7,AAPL,-100.0,-100.0,0.0,15
EMA8,AAPL,-100.0,-100.0,0.0,15
EMA9,AAPL,-100.0,-100.0,0.0,14
EMA10,AAPL,-100.0,-100.0,0.0,14
EMA11,AAPL,-100.0,-100.0,0.0,14
EMA12,AAPL,-100.0,-100.0,0.0,14
EMA13,AAPL,-100.0,-100.0,0.0,14
EMA14,AAPL,-100.0,-100.0,0.0,14
EMA15,AAPL,-100.0,-100.0,0.0,14
EMA16,AAPL,-100.0,-100.0,0.0,15
EMA17,AAPL,-100.0,-100.0,0.0,15
EMA18,AAPL,-100.0,-100.0,0.0,15
EMA19,AAPL,-100.0,-100.0,0.0,15
EMA20,AAPL,-100.0,-100.0,0.0,15
EMA25,AAPL,-100.0,-100.0,0.0,15
EMA30,AAPL,-100.0,-100.0,0.0,14
EMA35,AAPL,-100.0,-100.0,0.0,14
EMA40,AAPL,-100.0,-100.0,0.0,14
EMA45,AAPL,-100.0,-100.0,0.0,15
EMA55,AAPL,-100.0,-100.0,0.0,14
EMA65,AAPL,-100.0,-100.0,0.0,15
EMA75,AAPL,-100.0,-100.0,0.0,16
EMA85,AAPL,-100.0,-100.0,0.0,18
EMA100,AAPL,-100.0,-100.0,0.0,19
EMA125,AAPL,-100.0,-100.0,0.0,25
EMA150,AAPL,-100.0,-100.0,0.0,25
MTF_SMA,MSFT,-100.0,-100.0,0.0,16
TrailStop,MSFT,-100.0,-100.0,0.0,22
PullbackTrend,MSFT,-100.0,-100.0,0.0,24
RSITrend,MSFT,-22.965766873653983,-64.01833328626896,-0.1824950734095945,4
MACDHist,MSFT,-31.84717549165014,-86.54357905016845,-0.13540868939893033,2
Ribbon,MSFT,-100.0,-100.0,0.0,23
SMA3,MSFT,-100.0,-100.0,0.0,16
SMA7,MSFT,-100.0,-100.0,0.0,16
SMA8,MSFT,-100.0,-100.0,0.0,16
SMA13,MSFT,-100.0,-100.0,0.0,15
SMA21,MSFT,-100.0,-100.0,0.0,16
