strategy,ticker,return,max_drawdown,sharpe,win_rate,trades,profit_factor,avg_trade
ROCMomentum,NFLX,-100.0,-100.0,0.0,46.2962962962963,54,0.24918876743679694,0.0
ROCMomentum,TSLA,-100.0,-100.0,0.0,0.0,28,0.0,0.0
ROCMomentum,SPY,-17.131438701465285,-24.089827265175423,-0.5257660698558877,61.53846153846154,13,1.4708300668427767,0.4618051744594842
ROCMomentum,GOOGL,-100.0,-100.0,0.0,3.6363636363636362,55,0.006310561797301477,0.0
ROCMomentum,META,-100.0,-100.0,0.0,28.8135593220339,59,0.2521302300422018,0.0
ROCMomentum,AAPL,-100.0,-100.0,0.0,8.333333333333332,24,0.011436682301056059,0.0
Breakout,QQQ,0.0,-0.0,,,0,,
Breakout,AMZN,0.0,-0.0,,,0,,
Breakout,MSFT,0.0,-0.0,,,0,,
Breakout,NVDA,0.0,-0.0,,,0,,
Breakout,NFLX,0.0,-0.0,,,0,,
Breakout,TSLA,0.0,-0.0,,,0,,
Breakout,SPY,0.0,-0.0,,,0,,
Breakout,GOOGL,0.0,-0.0,,,0,,
Breakout,META,0.0,-0.0,,,0,,
Breakout,AAPL,0.0,-0.0,,,0,,
SupportBounce,QQQ,-100.0,-100.0,0.0,11.11111111111111,18,0.022805934872505065,0.0
SupportBounce,AMZN,-100.0,-100.0,0.0,5.88235294117647,34,0.0068601300981225855,0.0
SupportBounce,MSFT,-100.0,-100.0,0.0,11.11111111111111,18,0.010590953993547167,0.0
SupportBounce,NVDA,-100.0,-100.0,0.0,7.4074074074074066,27,0.012641041953301346,0.0
SupportBounce,NFLX,-100.0,-100.0,0.0,45.45454545454545,44,0.29444167273398947,0.0
SupportBounce,TSLA,-100.0,-100.0,0.0,10.0,20,0.0017688893784850775,0.0
SupportBounce,SPY,3.0736991624076655,-1.6476351224331998,0.5311404338053353,62.5,8,4.025749535448505,6.085483495821764
SupportBounce,GOOGL,-100.0,-100.0,0.0,6.0606060606060606,33,0.008825732316654749,0.0
SupportBounce,META,-100.0,-100.0,0.0,23.809523809523807,42,0.15013654975300303,0.0
SupportBounce,AAPL,-68.03542095159797,-92.25567005446996,-0.3115417628635344,100.0,2,,6.616634804623578
GapFill,QQQ,-100.0,-100.0,0.0,10.526315789473683,19,0.0008750093970551195,0.0
GapFill,AMZN,-100.0,-100.0,0.0,8.823529411764707,34,0.001986557375717544,0.0
GapFill,MSFT,-100.0,-100.0,0.0,0.0,16,0.0,0.0
GapFill,NVDA,-100.0,-100.0,0.0,7.4074074074074066,27,0.00082559765144517,0.0
GapFill,NFLX,-100.0,-100.0,0.0,51.28205128205128,39,0.24877374633544705,0.0
GapFill,TSLA,-100.0,-100.0,0.0,10.0,20,0.002808177266542465,0.0
GapFill,SPY,-0.2983088812675305,-0.6403139804084246,-0.2605009530198175,55.55555555555556,9,0.6346510942752506,-0.5006024688591237
GapFill,GOOGL,-100.0,-100.0,0.0,6.0606060606060606,33,0.0010981766399933968,0.0
GapFill,META,-100.0,-100.0,0.0,27.659574468085108,47,0.1493237629997652,0.0
GapFill,AAPL,-100.0,-100.0,0.0,14.285714285714285,14,0.0032890789388450594,0.0
DonchianChannel,QQQ,0.0,-0.0,,,0,,
DonchianChannel,AMZN,0.0,-0.0,,,0,,
